Range start,Value,Red,Green,Blue,Alpha
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,8.0,0.0
6,0.0,3.0,0.0,19.0,0.0
7,0.0,3.0,0.0,41.0,0.0
8,0.0,5.0,15.0,134.0,0.0
9,0.0,12.0,40.0,303.0,0.0
10,1.0,15.0,53.0,647.0,0.0
11,1.0,26.0,64.0,1176.0,0.0
12,9.0,54.0,88.0,1376.0,0.0
13,53.0,97.0,142.0,1531.0,0.0
14,57.0,115.0,231.0,1550.0,0.0
15,70.0,159.0,308.0,1479.0,0.0
16,132.0,261.0,437.0,1291.0,0.0
17,251.0,317.0,567.0,1215.0,0.0
18,341.0,449.0,595.0,1215.0,0.0
19,498.0,488.0,666.0,1299.0,0.0
20,538.0,546.0,576.0,1351.0,0.0
21,506.0,506.0,566.0,1575.0,0.0
22,408.0,494.0,618.0,1809.0,0.0
23,461.0,540.0,669.0,2073.0,0.0
24,557.0,571.0,816.0,2360.0,0.0
25,614.0,597.0,865.0,2916.0,0.0
26,555.0,551.0,843.0,3780.0,0.0
27,490.0,474.0,754.0,4519.0,0.0
28,488.0,467.0,782.0,4895.0,0.0
29,504.0,506.0,861.0,4970.0,0.0
30,508.0,532.0,1014.0,4905.0,0.0
31,518.0,521.0,1032.0,4466.0,0.0
32,494.0,478.0,1003.0,4685.0,0.0
33,573.0,547.0,1010.0,5178.0,0.0
34,568.0,532.0,988.0,5590.0,0.0
35,522.0,532.0,952.0,5736.0,0.0
36,558.0,562.0,941.0,5916.0,0.0
37,551.0,576.0,889.0,5945.0,0.0
38,616.0,592.0,893.0,6113.0,0.0
39,536.0,535.0,831.0,6045.0,0.0
40,522.0,557.0,879.0,6183.0,0.0
41,494.0,532.0,924.0,6223.0,0.0
42,521.0,554.0,973.0,6507.0,0.0
43,580.0,612.0,1267.0,6809.0,0.0
44,640.0,665.0,1782.0,7273.0,0.0
45,705.0,707.0,2384.0,7538.0,0.0
46,770.0,798.0,3188.0,7586.0,0.0
47,810.0,837.0,3778.0,7795.0,0.0
48,846.0,860.0,4545.0,8248.0,0.0
49,855.0,860.0,4955.0,8426.0,0.0
50,879.0,887.0,5129.0,8717.0,0.0
